cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,1.733605055451325815e-07
4.057561166005524633e+00,2.844230590970373989e-07
5.754617440853238897e+00,8.319104667357350273e-07
7.451673715700952272e+00,2.736470159324339755e-06
9.240528097700783761e+00,6.907088797950604818e-05
1.102938247970061525e+01,8.682601360348140944e-04
1.267862472994768019e+01,4.282368495006503607e-03
1.507862472994767877e+01,1.435506971160426248e-01
1.667862472994767842e+01,7.439554719927760074e-01
1.827862472994767984e+01,3.665378967035420210e+00
2.107862472994767700e+01,4.477043896268519063e+01
2.272786698019474372e+01,1.095682741755214948e+02
2.541114855319449006e+01,1.499346343213692307e+02
2.861114855319448935e+01,1.527849803446150077e+02
3.021114855319449077e+01,1.530113226540780147e+02
3.261114855319448935e+01,1.530239287471198963e+02
3.581114855319449219e+01,1.530240056833535220e+02
3.910963305368861853e+01,1.530240074237615318e+02
4.190963305368862279e+01,1.530242642271960563e+02
4.570436624589068231e+01,1.530244395143812426e+02
4.966416422053534774e+01,1.530248745612099981e+02
5.360370734125378789e+01,1.530971289522786662e+02
5.682861044057320754e+01,1.562766172451555633e+02
6.005351353989262719e+01,2.130428974935471729e+02
6.170275579013969036e+01,2.841303670572166880e+02
6.570275579013969036e+01,3.102059828431334267e+02
6.858719681051087491e+01,3.111674490016571326e+02
7.258719681051087491e+01,3.111791934644293178e+02
7.618719681051086923e+01,3.111797159044032242e+02
7.938719681051087207e+01,3.111828485521077141e+02
8.394789851090742161e+01,3.112076233437915675e+02
8.819995683600127734e+01,3.112201078789676671e+02
9.179995683600127165e+01,3.120298605240462848e+02
9.573949995671971180e+01,3.165475163440238475e+02
9.931720872071937833e+01,3.199516293101855240e+02
1.025421118200387980e+02,3.200832640733406720e+02
1.072239917843266426e+02,3.200833845160730107e+02
1.106649218911436918e+02,3.200835434603050089e+02
1.150830662980185934e+02,3.200917186016293954e+02
1.194830662980185991e+02,3.225141773075843048e+02
1.244307930487597957e+02,3.850312723370977892e+02
1.292307930487597787e+02,5.863979934593070311e+02
1.325292775492539192e+02,7.012114007186570461e+02
1.373292775492539022e+02,7.054256061429222200e+02
1.410170953321710670e+02,7.079668605461384914e+02
1.454170953321710726e+02,7.079742774383223605e+02
1.492118285243731179e+02,7.079746490496501110e+02
1.522581377667186757e+02,7.079751549827717554e+02
1.553044470090642335e+02,7.079903142877142272e+02
1.573044470090642335e+02,7.079928404968812856e+02
1.605293501083836532e+02,7.080093956561325967e+02
1.663534380198080669e+02,7.141746591955084114e+02
1.717348876386375593e+02,7.141781209610306860e+02
1.750333721391316715e+02,7.141820740530044986e+02
1.792094947426958811e+02,7.142624716674093861e+02
1.832294449911442484e+02,7.238989826835638723e+02
1.870241781833462937e+02,8.556925777975816345e+02
1.900704874256918515e+02,9.277244903748369325e+02
1.952704874256918401e+02,9.295889070218740926e+02
1.995786192713994467e+02,9.296032398020175833e+02
2.028035223707188663e+02,9.296111527731337674e+02
2.083604999664987929e+02,9.296111728223107775e+02
2.134201442227681866e+02,9.296111728336189799e+02
2.183678709735093832e+02,9.296111728336200031e+02
2.232340809977479523e+02,9.296111728724763452e+02
2.275422128434555589e+02,9.296112981215708260e+02
2.331422128434555532e+02,9.296389072041854433e+02
2.376143487984551257e+02,9.296437725277727395e+02
2.396143487984551257e+02,9.296440901062959483e+02
