cumulative_distance,dose_with_radiation,dose_without_radiation
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,1.557691390154726960e-08,1.557691390154726960e-08
4.057561166005524633e+00,3.979686990114310289e-08,3.979686990114310289e-08
5.754617440853238897e+00,3.108792594178777758e-07,3.108792594178777758e-07
7.451673715700952272e+00,2.452010235937212684e-06,2.452010235937212684e-06
9.240528097700783761e+00,6.771720473650001335e-05,6.771720473650001335e-05
1.102938247970061525e+01,4.660738803550866895e-04,4.660738803550866895e-04
1.267862472994768019e+01,1.270824752202588887e-03,1.270824752202588887e-03
1.507862472994767877e+01,5.090089665819771958e-02,5.090089665819771958e-02
1.667862472994767842e+01,3.327449885877777902e-01,3.327449885877777902e-01
1.827862472994767984e+01,2.139218396640621300e+00,2.139218396640621300e+00
2.107862472994767700e+01,4.330712578570717142e+01,4.330712578570717142e+01
2.272786698019474372e+01,1.129869691407503467e+02,1.129869691407503467e+02
2.476747478563185823e+01,1.755611459185136027e+02,2.621007858210620043e+02
2.796747478563185751e+01,2.099542838424301578e+02,6.033230728488123304e+02
3.052872448060499977e+01,2.125020110479457003e+02,6.627738380611372122e+02
3.394632597873201263e+01,2.222708973496189628e+02,6.691981173141547288e+02
3.674632597873201689e+01,2.227374959631738989e+02,6.694073370109265397e+02
3.914632597873202258e+01,2.228232385421593165e+02,6.702031004880174123e+02
4.244481047922614891e+01,2.263880514466630984e+02,6.913113335320975921e+02
4.444481047922614891e+01,2.399071527620939719e+02,6.986546946114759749e+02
4.844481047922614891e+01,2.802435777730951258e+02,7.010861047750275930e+02
5.070755217902310363e+01,2.841346233677643909e+02,7.011136339380710751e+02
5.470755217902310363e+01,2.849866447695970351e+02,7.011145635460935637e+02
5.850228537122515604e+01,2.849943608713056165e+02,7.011149070514010191e+02
6.172718847054457569e+01,2.849945310831198526e+02,7.011149270326521901e+02
6.477349771289013347e+01,2.849945679904147937e+02,7.011250449299620868e+02
6.819109921101714633e+01,2.849965777581155066e+02,7.012339216421337369e+02
7.215089718566181887e+01,2.856681799191467803e+02,7.020789175729352110e+02
7.575089718566181318e+01,3.005739420662902717e+02,7.050561517807035443e+02
8.015089718566181887e+01,4.293026608308150571e+02,7.770102003731051354e+02
8.337580028498123852e+01,5.075857613633895653e+02,8.944076904896802489e+02
8.580890529710053727e+01,5.882029383903518465e+02,1.432686822888790857e+03
9.060890529710053443e+01,6.141490078044768097e+02,1.729036885162463022e+03
9.380890529710053727e+01,6.153975087611438539e+02,1.773929983767805652e+03
9.780890529710053727e+01,6.154100584682181534e+02,1.777914466475328027e+03
1.010089052971005401e+02,6.154101611072444484e+02,1.778407309830056647e+03
1.058089052971005373e+02,6.154102148721480035e+02,1.778514530428529724e+03
1.086089052971005344e+02,6.154109970324821006e+02,1.778850444914269247e+03
1.130089052971005401e+02,6.154443213803683648e+02,1.778864007318102722e+03
1.166310593523555070e+02,6.155882806523595718e+02,1.778864110893986663e+03
1.182310593523555013e+02,6.156535897815490443e+02,1.778864111000401635e+03
1.216486608504825142e+02,6.161303225398129371e+02,1.778864111002886148e+03
1.255882039712009544e+02,6.161418489092314985e+02,1.778864111577829817e+03
1.283882039712009657e+02,6.161426310695655957e+02,1.778864113490149066e+03
1.338287921746951383e+02,6.161431954013146424e+02,1.778864114259125472e+03
1.370536952740145580e+02,6.161657307259703202e+02,1.778864138050580777e+03
1.417355752383024026e+02,6.204872723215702308e+02,1.778867397111996070e+03
1.465355752383024139e+02,6.326918181747686276e+02,1.779046591527077680e+03
1.497355752383024026e+02,6.365479692974819272e+02,1.779157622786313141e+03
1.545522130698193166e+02,6.450165737504825074e+02,1.779458515079969402e+03
1.579698145679463153e+02,6.451757282137488119e+02,1.779900029042169308e+03
1.623698145679463209e+02,6.451768239517738266e+02,1.781010929036591506e+03
1.671864523994632350e+02,6.451768244554099283e+02,1.781023588411451101e+03
1.687864523994632293e+02,6.451768244616494030e+02,1.781025521985333398e+03
1.732045968063381451e+02,6.451768253166079603e+02,1.781025571473064247e+03
1.776045968063381508e+02,6.451768274201590430e+02,1.781033417178829268e+03
1.832045968063381451e+02,6.451768277972718124e+02,1.781043288977257362e+03
1.864294999056575648e+02,6.451768278313053315e+02,1.781110691439613447e+03
1.896544030049769844e+02,6.451768369737288822e+02,1.781161989081522051e+03
1.947140472612463782e+02,6.452429342078696664e+02,1.781164856177921365e+03
1.995140472612463896e+02,6.499625079597036574e+02,1.781164864558077625e+03
2.027389503605658092e+02,6.597820688552942556e+02,1.781164886845429010e+03
2.055673774853119937e+02,7.223630719476257127e+02,1.781167118390624182e+03
2.091450862493116460e+02,9.091212207408333370e+02,1.783981760967440323e+03
