cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,3.053200999226642801e-12
1.574383386443898658e+01,5.820233894970119026e-12
2.378373436133569641e+01,7.694329504507815964e-10
4.154661701027531251e+01,6.346459543167626407e+02
6.174166590845825908e+01,6.346462799386104052e+02
9.895026706464255994e+01,6.346462801748037919e+02
1.179028394494139746e+02,6.346462802843906275e+02
1.352187281069446669e+02,6.513284879874639728e+02
1.484126661089211723e+02,1.311777665863322454e+03
1.539696437047010988e+02,1.337239172431508223e+03
1.681456798220365840e+02,1.337245738606903842e+03
1.743938795627618958e+02,1.337254687774041713e+03
1.863270266749029247e+02,1.337254687774253398e+03
1.923801250550715451e+02,1.337254753346215239e+03
1.981072534803820702e+02,1.337254759635851769e+03
2.044318088007188408e+02,1.337254875132311099e+03
2.281164029496587773e+02,1.361861235930984321e+03
2.370606748596579223e+02,1.361861246491188695e+03
2.511518068227047422e+02,1.361861246491188695e+03
2.612789979436424801e+02,1.361861246533459052e+03
2.682761402174568275e+02,1.361875148265232383e+03
2.738474955283304553e+02,1.372421892720876713e+03
2.827917674383296003e+02,1.375413642604770757e+03
3.013476290459187226e+02,1.375413642604770757e+03
3.179223085299992704e+02,1.375834670396075808e+03
3.279223085299992704e+02,1.394764973468041489e+03
3.334936638408728982e+02,1.394776042485093740e+03
3.404908061146872456e+02,1.394776042514299434e+03
3.468153614350239877e+02,1.394776042514299434e+03
3.496437885597702007e+02,1.394776042514299434e+03
3.516437885597702007e+02,1.394776042514299434e+03
3.576437885597702007e+02,1.394776042514669825e+03
3.808437885597701893e+02,4.021150876165661430e+03
3.861049671349565529e+02,4.599971891940106616e+03
