cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000888e+00,0.000000000000000000e+00
6.224903099319419653e+00,2.587434516194912162e-17
8.378969022173221148e+00,2.093218309934169587e-16
1.117896902217322008e+01,8.142342228097611145e-13
1.317896902217322008e+01,1.147393346411496568e-10
1.533303494502702158e+01,1.718864814498164620e-08
1.733303494502702335e+01,4.766285587051294223e-07
1.937264275046413786e+01,2.451475129672489486e-05
2.137264275046413786e+01,8.776512446849586181e-04
2.467112725095826420e+01,9.643612331662909133e-04
2.867112725095826420e+01,9.680319716852986856e-04
3.267112725095826420e+01,9.682205498740388766e-04
3.661067037167670435e+01,1.201019542722669541e-03
3.973477024203936736e+01,1.012090084904112945e-02
4.420690619703894697e+01,5.220516229364963179e-02
4.845896452213280270e+01,9.183486188365735936e-02
5.257721657852760444e+01,2.505752340839028758e+00
5.637194977072965685e+01,7.765164672736501927e+01
5.837194977072965685e+01,2.020400551479084470e+02
6.181287987754670610e+01,2.260708703212301316e+02
6.581287987754670610e+01,2.370074350817421021e+02
6.781287987754670610e+01,2.377557556287916896e+02
7.264609826698453787e+01,2.377645254690574461e+02
7.666604851543289101e+01,2.377645309603335306e+02
7.866604851543289101e+01,2.377645315127480501e+02
8.284217111899711483e+01,2.377668500083810841e+02
8.686212136744548218e+01,2.385634859188171220e+02
9.126212136744547365e+01,3.045627855086553950e+02
9.609533975688330543e+01,6.668513582896949856e+02
1.002135918132781001e+02,8.013085917618424219e+02
1.053360912032243846e+02,1.085131005112998309e+03
1.101360912032243817e+02,1.091662628433713280e+03
1.143122138067886056e+02,1.091704199329388075e+03
1.183122138067886056e+02,1.091704242702708143e+03
1.238835691176622618e+02,1.091704865687325764e+03
1.302835691176622674e+02,1.091704868024019561e+03
1.361076570290866812e+02,1.091704868024038888e+03
